"title","popularity","weighted_average","score","bag_of_words"
"Spirited Away","0.03298514254246702","0.9255666010629897","0.39001772595067613","animation family fantasy a young girl chihiro becomes trapped in a strange new world of spirits when her parents undergo a mysterious transformation she must call upon the courage she never knew she had to free her family "
"Avengers: Infinity War","0.06008306026557583","0.8816796942797442","0.3887217138712432","adventure action science fiction as the avengers and their allies have continued to protect the world from threats too large for any one hero to handle a new danger has emerged from the cosmic shadows thanos a despot of intergalactic infamy his goal is to collect all six infinity stones artifacts of unimaginable power and use them to inflict his twisted will on all of reality everything the avengers have fought for has led up to this moment  the fate of earth and existence itself has never been more uncertain "
"Spider-Man: Into the Spider-Verse","0.0428187178186943","0.8989781006519804","0.38528247095200874","animation action adventure science fiction struggling to find his place in the world while juggling school and family brooklyn teenager miles morales is unexpectedly bitten by a radioactive spider and develops unfathomable powers just like the one and only spiderman while wrestling with the implications of his new abilities miles discovers a super collider created by the madman wilson kingpin fisk causing others from across the spiderverse to be inadvertently transported to his dimension "
"The Green Mile","0.02155659440994315","0.9305092461046682","0.3851376550878332","fantasy drama crime a supernatural tale set on death row in a southern prison where gentle giant john coffey possesses the mysterious power to heal peoples ailments when the cell blocks head guard paul edgecomb recognizes coffeys miraculous gift he tries desperately to help stave off the condemned mans execution "
"Whiplash","0.04700215035959018","0.8922716670311825","0.38510995702822715","drama music under the direction of a ruthless instructor a talented young drummer begins to pursue perfection at any cost even his humanity "
"The Lord of the Rings: The Two Towers","0.029365563952735367","0.9175254576738434","0.38462952144117857","adventure fantasy action frodo baggins and the other members of the fellowship continue on their sacred quest to destroy the one ringbut on separate paths their destinies lie at two towersorthanc tower in isengard where the corrupt wizard saruman awaits and saurons fortress at baraddur deep within the dark lands of mordor frodo and sam are trekking to mordor to destroy the one ring of power while gimli legolas and aragorn search for the orccaptured merry and pippin all along nefarious wizard saruman awaits the fellowship members at the orthanc tower in isengard "
"The Godfather Part II","0.024559634140949062","0.9222457302259344","0.3836340725749432","drama crime in the continuing saga of the corleone crime family a young vito corleone grows up in sicily and in s new york in the s michael corleone attempts to expand the family business into las vegas hollywood and cuba "
"Se7en","0.025458099975256908","0.9155626557189696","0.381499922272742","crime mystery thriller two homicide detectives are on a desperate hunt for a serial killer whose crimes are based on the seven deadly sins in this dark and haunting film that takes viewers from the tortured remains of one victim to the next the seasoned det sommerset researches each sin in an effort to get inside the killers mind while his novice partner mills scoffs at his efforts to unravel the case "
"Inglourious Basterds","0.05114826442429665","0.8750890732125944","0.3807245879396158","drama thriller war in nazioccupied france during world war ii a group of jewishamerican soldiers known as the basterds are chosen specifically to spread fear throughout the third reich by scalping and brutally killing nazis the basterds lead by lt aldo raine soon cross paths with a frenchjewish teenage girl who runs a movie theater in paris which is targeted by the soldiers "
"The Matrix","0.04944227694135261","0.8763656828917721","0.3802116393215204","action science fiction set in the nd century the matrix tells the story of a computer hacker who joins a group of underground insurgents fighting the vast and powerful computers who now rule the earth "
"Coco","0.05458752264588623","0.8667283889267339","0.3794438691582253","family animation music adventure despite his family’s baffling generationsold ban on music miguel dreams of becoming an accomplished musician like his idol ernesto de la cruz desperate to prove his talent miguel finds himself in the stunning and colorful land of the dead following a mysterious chain of events along the way he meets charming trickster hector and together they set off on an extraordinary journey to unlock the real story behind miguels family history "
"Your Name.","0.027993874752294697","0.898739291009395","0.3762920412551348","animation romance drama high schoolers mitsuha and taki are complete strangers living separate lives but one night they suddenly switch places mitsuha wakes up in taki’s body and he in hers this bizarre occurrence continues to happen randomly and the two must adjust their lives around each other "
"GoodFellas","0.018439404045887304","0.9083478174416879","0.3744027694042076","drama crime the true story of henry hill a halfirish halfsicilian brooklyn kid who is adopted by neighbourhood gangsters at an early age and climbs the ranks of a mafia family under the guidance of jimmy conway "
"Avengers: Endgame","0.03551715411182184","0.8763313826715093","0.37184284553569685","adventure science fiction action after the devastating events of avengers infinity war the universe is in ruins due to the efforts of the mad titan thanos with the help of remaining allies the avengers must assemble once more in order to undo thanos actions and restore order to the universe once and for all no matter what consequences may be in store "
"Red One","0.33606040450092184","0.42477245403555686","0.3715452243147759","action comedy fantasy after santa claus codename red one is kidnapped the north poles head of security must team up with the worlds most infamous bounty hunter in a globetrotting actionpacked mission to save christmas "
"Despicable Me 4","0.2719801904747569","0.51992194763568","0.37115689333912616","animation family comedy action gru and lucy and their girls—margo edith and agnes—welcome a new member to the gru family gru jr who is intent on tormenting his dad gru also faces a new nemesis in maxime le mal and his femme fatale girlfriend valentina forcing the family to go on the run "
"Joker","0.04097317805084032","0.8638780530153023","0.3701351280366251","crime thriller drama during the s a failed standup comedian is driven insane and turns to a life of crime and chaos in gotham city while becoming an infamous psychopathic crime figure "
"Back to the Future","0.020408502465998637","0.8932395680028284","0.3695409286807306","adventure comedy science fiction eighties teenager marty mcfly is accidentally sent back in time to  inadvertently disrupting his parents first meeting and attracting his mothers romantic interest marty must repair the damage to history by rekindling his parents romance and  with the help of his eccentric inventor friend doc brown  return to  "
"The Lion King","0.03261446658569498","0.8747743227465545","0.3694784090500388","family animation drama taking inspiration from shakespeares hamlet a young lion prince grows up in exile after his father is killed by his villainous uncle and returns years later to reclaim his throne "
"Hacksaw Ridge","0.05005442539111488","0.8453620926316698","0.36817749228733687","drama history war wwii american army medic desmond t doss who served during the battle of okinawa refuses to kill people and becomes the first conscientious objector in american history to receive the congressional medal of honor "
"The Empire Strikes Back","0.010774690797608732","0.9039002452555096","0.3680249125807691","adventure action science fiction the epic saga continues as luke skywalker in hopes of defeating the evil galactic empire learns the ways of the jedi from aging master yoda but darth vader is more determined than ever to capture luke meanwhile rebel leader princess leia cocky han solo chewbacca and droids cpo and rd are thrown into various stages of capture betrayal and despair "
"Life Is Beautiful","0.01407784634133109","0.8976914984664346","0.36752330719137255","comedy drama a touching story of an italian book seller of jewish ancestry who lives in his own little fairy tale his creative and happy life would come to an abrupt halt when his entire family is deported to a concentration camp during world war ii while locked up he tries to convince his son that the whole thing is just a game "
"Spider-Man: No Way Home","0.06381992549475989","0.818870585990483","0.36584018969304916","action adventure science fiction peter parker is unmasked and no longer able to separate his normal life from the highstakes of being a superhero when he asks for help from doctor strange the stakes become even more dangerous forcing him to discover what it truly means to be spiderman "
"Spider-Man: Across the Spider-Verse","0.05458030983116055","0.832193795711073","0.36562570418312557","animation action adventure science fiction after reuniting with gwen stacy brooklyn’s fulltime friendly neighborhood spiderman is catapulted across the multiverse where he encounters the spider society a team of spiderpeople charged with protecting the multiverse’s very existence but when the heroes clash on how to handle a new threat miles finds himself pitted against the other spiders and must set out on his own to save those he loves most "
"Levels","0.32708295897256906","0.418707684942226","0.3637328493604318","action science fiction thriller after witnessing his girlfriends murder a man risks everything  including reality itself  to discover the truth "
